Episode;Reward;Time
0;121;2020-06-16T00:43:21.756170
1;208;2020-06-16T00:43:49.296083
2;106;2020-06-16T00:44:21.474966
3;218;2020-06-16T00:45:05.476061
4;104;2020-06-16T00:45:36.671194
5;97;2020-06-16T00:46:07.859635
6;83;2020-06-16T00:46:37.428106
7;107;2020-06-16T00:47:09.609918
8;94;2020-06-16T00:47:40.216165
9;115;2020-06-16T00:48:12.537259
10;89;2020-06-16T00:48:42.402791
11;93;2020-06-16T00:49:12.340012
12;102;2020-06-16T00:49:43.957865
13;102;2020-06-16T00:50:15.562199
14;85;2020-06-16T00:50:45.402293
15;116;2020-06-16T00:51:18.676090
16;128;2020-06-16T00:51:52.999159
17;112;2020-06-16T00:52:25.647177
18;145;2020-06-16T00:53:01.900013
19;101;2020-06-16T00:53:32.884377
20;157;2020-06-16T00:54:10.424791
21;168;2020-06-16T00:54:48.859970
22;100;2020-06-16T00:55:20.336893
23;249;2020-06-16T00:56:07.927597
24;73;2020-06-16T00:56:36.296047
25;126;2020-06-16T00:57:10.536731
26;98;2020-06-16T00:57:41.675702
27;76;2020-06-16T00:58:10.432646
28;113;2020-06-16T00:58:42.585759
29;50;2020-06-16T00:59:08.600260
30;59;2020-06-16T00:59:35.374969
31;67;2020-06-16T01:00:03.318877
