Episode;Reward;Time
0;25;2020-07-12T17:47:53.077685
1;21;2020-07-12T17:48:06.178900
2;20;2020-07-12T17:48:16.641302
3;19;2020-07-12T17:48:27.147076
4;25;2020-07-12T17:48:37.551450
5;34;2020-07-12T17:48:51.017998
6;40;2020-07-12T17:49:20.576411
7;21;2020-07-12T17:49:45.744733
8;26;2020-07-12T17:50:16.917748
9;20;2020-07-12T17:50:42.733847
10;16;2020-07-12T17:51:13.046941
11;24;2020-07-12T17:51:43.760329
12;21;2020-07-12T17:52:14.436342
13;16;2020-07-12T17:52:42.401257
14;17;2020-07-12T17:53:10.989372
15;31;2020-07-12T17:53:42.843667
16;12;2020-07-12T17:54:11.126040
17;11;2020-07-12T17:54:37.737105
18;12;2020-07-12T17:54:57.482496
19;12;2020-07-12T17:55:23.305167
20;13;2020-07-12T17:55:48.661037
21;33;2020-07-12T17:56:18.824972
22;12;2020-07-12T17:56:41.236939
23;19;2020-07-12T17:57:06.362039
24;25;2020-07-12T17:57:34.082767
25;21;2020-07-12T17:58:04.270015
26;42;2020-07-12T17:58:35.678426
27;41;2020-07-12T17:59:07.738194
28;48;2020-07-12T17:59:41.325350
29;48;2020-07-12T18:00:12.343769
30;46;2020-07-12T18:00:35.486069
31;53;2020-07-12T18:01:08.190076
32;53;2020-07-12T18:01:40.582480
33;47;2020-07-12T18:02:12.984537
34;54;2020-07-12T18:02:45.729253
35;41;2020-07-12T18:03:18.708912
36;49;2020-07-12T18:03:51.132644
37;51;2020-07-12T18:04:22.661878
38;66;2020-07-12T18:04:58.592954
39;54;2020-07-12T18:05:30.386982
40;53;2020-07-12T18:06:04.377735
41;63;2020-07-12T18:06:39.855813
42;69;2020-07-12T18:07:14.239416
43;68;2020-07-12T18:07:44.665383
44;65;2020-07-12T18:08:15.791223
45;66;2020-07-12T18:08:42.313152
46;68;2020-07-12T18:09:18.088886
47;60;2020-07-12T18:09:40.815130
48;60;2020-07-12T18:10:14.604527
49;68;2020-07-12T18:10:49.823818
50;57;2020-07-12T18:11:23.090057
51;67;2020-07-12T18:11:55.745473
52;135;2020-07-12T18:12:38.251555
53;54;2020-07-12T18:13:09.681110
54;64;2020-07-12T18:13:38.969730
55;63;2020-07-12T18:14:14.079772
56;88;2020-07-12T18:14:44.739404
57;64;2020-07-12T18:15:20.207048
58;59;2020-07-12T18:15:55.381912
59;90;2020-07-12T18:16:33.052598
60;97;2020-07-12T18:17:12.152200
61;94;2020-07-12T18:17:43.554170
62;196;2020-07-12T18:18:21.447121
63;107;2020-07-12T18:18:57.342075
64;114;2020-07-12T18:19:33.206284
65;109;2020-07-12T18:20:13.637247
66;96;2020-07-12T18:20:51.769866
67;97;2020-07-12T18:21:23.475298
68;69;2020-07-12T18:21:58.628281
69;484;2020-07-12T18:23:18.753870
70;94;2020-07-12T18:24:02.729726
71;137;2020-07-12T18:24:46.254036
72;236;2020-07-12T18:25:40.824009
73;92;2020-07-12T18:26:23.467327
74;340;2020-07-12T18:27:20.275893
75;223;2020-07-12T18:28:10.604425
76;500;2020-07-12T18:29:30.513894
77;500;2020-07-12T18:30:44.853714
78;221;2020-07-12T18:31:40.313728
79;107;2020-07-12T18:32:19.431860
80;500;2020-07-12T18:33:37.176655
81;500;2020-07-12T18:34:58.523360
82;500;2020-07-12T18:36:30.468102
83;500;2020-07-12T18:37:57.642391
