Episode;Steps;Reward;Time
0;37;25;2020-07-18T16:33:29.430732
1;67;55;2020-07-18T16:33:46.290951
2;33;21;2020-07-18T16:34:00.952322
3;33;21;2020-07-18T16:34:12.035541
4;109;97;2020-07-18T16:34:30.369048
5;46;34;2020-07-18T16:34:49.005645
6;28;16;2020-07-18T16:35:18.748710
7;33;21;2020-07-18T16:35:51.664977
8;55;43;2020-07-18T16:36:24.711755
9;55;43;2020-07-18T16:36:55.921098
10;42;30;2020-07-18T16:37:27.696124
11;37;25;2020-07-18T16:37:59.083807
12;31;19;2020-07-18T16:38:26.760223
13;24;12;2020-07-18T16:38:56.556709
14;44;32;2020-07-18T16:39:27.124196
15;47;35;2020-07-18T16:40:00.767675
16;133;121;2020-07-18T16:40:43.215079
17;31;19;2020-07-18T16:41:13.826095
18;80;68;2020-07-18T16:41:47.845990
19;75;63;2020-07-18T16:42:12.459041
20;77;65;2020-07-18T16:42:39.421446
21;76;64;2020-07-18T16:43:15.057704
22;65;53;2020-07-18T16:43:50.126004
23;60;48;2020-07-18T16:44:20.575238
24;61;49;2020-07-18T16:44:55.198675
25;53;41;2020-07-18T16:45:27.598971
26;63;51;2020-07-18T16:46:05.287077
27;62;50;2020-07-18T16:46:32.963148
28;59;47;2020-07-18T16:47:06.786820
29;58;46;2020-07-18T16:47:40.864816
30;60;48;2020-07-18T16:48:15.618017
31;58;46;2020-07-18T16:48:49.889670
32;45;33;2020-07-18T16:49:26.375941
33;60;48;2020-07-18T16:50:01.158036
34;21;9;2020-07-18T16:50:29.596587
35;45;33;2020-07-18T16:51:00.701975
36;45;33;2020-07-18T16:51:23.738892
37;60;48;2020-07-18T16:51:58.029262
38;63;51;2020-07-18T16:52:33.008689
39;44;32;2020-07-18T16:53:02.167624
40;60;48;2020-07-18T16:53:28.863710
41;59;47;2020-07-18T16:54:03.880021
42;61;49;2020-07-18T16:54:41.719935
43;62;50;2020-07-18T16:55:23.094631
44;57;45;2020-07-18T16:55:57.438102
45;42;30;2020-07-18T16:56:27.844893
46;74;62;2020-07-18T16:57:04.338938
47;52;40;2020-07-18T16:57:38.333497
48;52;40;2020-07-18T16:58:17.824080
49;54;42;2020-07-18T16:58:49.130236
50;54;42;2020-07-18T16:59:21.494219
51;54;42;2020-07-18T16:59:47.954686
52;75;64;2020-07-18T17:00:23.368854
53;52;40;2020-07-18T17:00:56.973224
54;73;61;2020-07-18T17:01:32.500066
55;27;15;2020-07-18T17:01:58.458339
56;26;14;2020-07-18T17:02:19.814858
57;27;15;2020-07-18T17:02:40.005100
58;27;15;2020-07-18T17:03:03.567199
59;30;18;2020-07-18T17:03:34.961870
60;33;21;2020-07-18T17:04:04.118041
61;28;16;2020-07-18T17:04:28.913590
62;28;16;2020-07-18T17:04:57.171746
63;31;19;2020-07-18T17:05:28.199675
64;27;15;2020-07-18T17:05:58.393414
65;33;21;2020-07-18T17:06:29.958721
66;29;17;2020-07-18T17:06:53.137054
67;30;18;2020-07-18T17:07:20.280098
68;31;19;2020-07-18T17:07:40.348337
69;28;17;2020-07-18T17:08:12.512078
70;30;18;2020-07-18T17:08:43.808680
71;29;17;2020-07-18T17:09:14.827645
72;32;20;2020-07-18T17:09:46.522747
73;29;17;2020-07-18T17:10:21.362127
