Episode;Steps;Reward;Time
0;56;45;2020-07-18T23:18:48.468352
1;41;30;2020-07-18T23:18:59.174412
2;42;31;2020-07-18T23:19:09.488239
3;47;36;2020-07-18T23:19:19.763796
4;42;31;2020-07-18T23:19:29.417559
5;36;25;2020-07-18T23:19:39.581283
6;48;37;2020-07-18T23:20:06.582605
7;43;32;2020-07-18T23:20:26.279827
8;49;38;2020-07-18T23:20:49.020934
9;48;37;2020-07-18T23:21:09.167174
10;27;16;2020-07-18T23:21:30.235490
11;47;36;2020-07-18T23:21:51.619115
12;54;43;2020-07-18T23:22:24.908646
13;51;40;2020-07-18T23:22:57.505117
14;48;37;2020-07-18T23:23:30.238397
15;48;37;2020-07-18T23:24:02.881893
16;58;47;2020-07-18T23:24:36.629094
17;46;35;2020-07-18T23:25:08.877694
18;52;41;2020-07-18T23:25:41.930535
19;27;16;2020-07-18T23:26:07.555258
20;24;13;2020-07-18T23:26:26.187923
21;61;50;2020-07-18T23:26:47.718928
22;64;53;2020-07-18T23:27:12.681833
23;58;47;2020-07-18T23:27:33.801219
24;56;45;2020-07-18T23:27:57.971372
25;54;43;2020-07-18T23:28:18.688440
26;58;47;2020-07-18T23:28:41.797235
27;63;52;2020-07-18T23:29:06.156764
28;62;51;2020-07-18T23:29:27.752930
29;43;32;2020-07-18T23:29:50.376063
30;56;45;2020-07-18T23:30:23.060306
31;59;48;2020-07-18T23:30:56.867600
32;85;74;2020-07-18T23:31:32.754693
33;62;51;2020-07-18T23:32:06.894209
34;49;38;2020-07-18T23:32:39.779697
35;61;50;2020-07-18T23:33:13.752046
36;101;90;2020-07-18T23:33:52.144073
37;102;91;2020-07-18T23:34:30.311349
38;68;57;2020-07-18T23:35:05.030358
39;131;120;2020-07-18T23:35:46.857573
40;102;91;2020-07-18T23:36:24.496443
41;60;49;2020-07-18T23:36:58.464715
42;127;116;2020-07-18T23:37:39.600253
43;66;55;2020-07-18T23:38:14.183069
44;126;115;2020-07-18T23:38:55.219775
45;101;90;2020-07-18T23:39:33.591326
46;100;89;2020-07-18T23:40:11.531957
47;120;109;2020-07-18T23:40:51.646579
48;133;122;2020-07-18T23:41:33.025455
49;449;438;2020-07-18T23:42:49.918793
50;103;92;2020-07-18T23:43:50.260715
51;500;500;2020-07-18T23:45:12.741066
52;500;500;2020-07-18T23:46:35.155654
53;500;500;2020-07-18T23:47:57.770383
54;500;500;2020-07-18T23:49:20.491921
55;500;500;2020-07-18T23:50:44.376473
56;500;500;2020-07-18T23:52:06.879638
57;500;500;2020-07-18T23:53:29.267797
58;500;500;2020-07-18T23:54:51.746188
59;500;500;2020-07-18T23:56:14.022967
60;500;500;2020-07-18T23:57:36.368743
61;344;333;2020-07-18T23:58:47.960387
62;500;500;2020-07-19T00:00:10.469987
63;500;500;2020-07-19T00:01:32.079206
