Episode;Reward;Time
0;16;2020-07-15T17:49:24.253019
1;24;2020-07-15T17:49:43.626693
2;57;2020-07-15T17:49:58.082451
3;22;2020-07-15T17:50:13.146203
4;20;2020-07-15T17:50:24.714406
5;19;2020-07-15T17:50:38.182037
6;31;2020-07-15T17:51:09.495015
7;14;2020-07-15T17:51:38.819468
8;26;2020-07-15T17:52:09.336824
9;26;2020-07-15T17:52:40.585012
10;23;2020-07-15T17:53:11.209569
11;32;2020-07-15T17:53:43.122331
12;40;2020-07-15T17:54:15.948605
13;39;2020-07-15T17:54:48.643391
14;15;2020-07-15T17:55:18.698174
15;23;2020-07-15T17:55:49.642976
16;16;2020-07-15T17:56:19.779493
17;36;2020-07-15T17:56:52.193360
18;24;2020-07-15T17:57:23.164852
19;38;2020-07-15T17:57:55.715580
20;49;2020-07-15T17:58:29.273712
21;49;2020-07-15T17:59:02.852868
22;51;2020-07-15T17:59:26.112775
23;48;2020-07-15T17:59:46.083354
24;51;2020-07-15T18:00:06.307054
25;49;2020-07-15T18:00:26.406066
26;50;2020-07-15T18:00:55.099026
27;52;2020-07-15T18:01:15.485138
28;48;2020-07-15T18:01:35.366155
29;45;2020-07-15T18:01:54.983818
30;46;2020-07-15T18:02:14.706676
31;37;2020-07-15T18:02:33.429787
32;53;2020-07-15T18:02:53.943526
33;48;2020-07-15T18:03:13.878415
34;52;2020-07-15T18:03:34.248242
35;46;2020-07-15T18:04:07.695441
36;68;2020-07-15T18:04:43.290654
37;69;2020-07-15T18:05:19.325246
38;67;2020-07-15T18:05:55.137556
39;45;2020-07-15T18:06:28.506936
40;47;2020-07-15T18:07:02.018203
41;48;2020-07-15T18:07:35.597798
42;43;2020-07-15T18:08:08.692028
43;44;2020-07-15T18:08:41.791018
44;25;2020-07-15T18:09:12.974043
45;38;2020-07-15T18:12:48.476286
46;22;2020-07-15T18:13:33.504619
47;64;2020-07-15T18:14:08.957192
48;53;2020-07-15T18:14:42.861436
49;45;2020-07-15T18:15:26.825811
50;59;2020-07-15T18:16:18.766941
51;65;2020-07-15T18:16:58.102560
52;42;2020-07-15T18:24:23.430492
53;38;2020-07-15T18:24:55.986486
54;46;2020-07-15T18:25:29.433262
55;34;2020-07-15T18:26:01.618132
56;37;2020-07-15T18:26:33.867591
57;60;2020-07-15T18:27:08.899534
58;42;2020-07-15T18:27:41.801536
59;58;2020-07-15T18:28:16.553995
60;44;2020-07-15T18:28:48.447414
61;55;2020-07-15T18:29:22.817382
62;56;2020-07-15T18:29:56.893464
63;54;2020-07-15T18:30:31.195525
64;50;2020-07-15T18:31:05.056162
65;71;2020-07-15T18:31:41.097347
66;50;2020-07-15T18:32:14.903337
67;70;2020-07-15T18:32:50.891879
68;45;2020-07-15T18:33:23.786444
69;60;2020-07-15T18:33:58.835504
70;60;2020-07-15T18:34:33.460483
71;64;2020-07-15T18:35:08.705361
72;73;2020-07-15T18:35:44.460767
73;68;2020-07-15T18:36:20.231987
74;69;2020-07-15T18:36:56.230046
75;72;2020-07-15T18:37:25.673325
76;56;2020-07-15T18:37:58.135264
77;57;2020-07-15T18:38:32.573073
78;71;2020-07-15T18:39:08.697761
79;60;2020-07-15T18:39:43.551354
80;69;2020-07-15T18:40:19.492314
81;67;2020-07-15T18:40:55.271677
82;69;2020-07-15T18:41:31.056507
83;70;2020-07-15T18:42:06.699846
84;71;2020-07-15T18:42:39.792133
85;70;2020-07-15T18:43:15.887993
86;64;2020-07-15T18:43:51.204550
87;66;2020-07-15T18:44:13.004785
88;75;2020-07-15T18:44:48.980872
89;68;2020-07-15T18:45:24.575920
90;71;2020-07-15T18:46:00.627232
91;68;2020-07-15T18:46:36.418977
92;67;2020-07-15T18:47:11.925782
93;70;2020-07-15T18:47:47.852216
94;55;2020-07-15T18:48:22.273404
95;60;2020-07-15T18:48:57.223197
96;71;2020-07-15T18:49:25.966434
97;67;2020-07-15T18:49:49.253037
98;72;2020-07-15T18:50:24.871398
99;75;2020-07-15T18:50:53.777860
100;70;2020-07-15T18:51:16.036351
101;72;2020-07-15T18:51:38.450909
102;74;2020-07-15T18:52:01.196950
103;108;2020-07-15T18:52:27.645905
104;67;2020-07-15T18:52:49.527605
105;72;2020-07-15T18:53:11.950655
106;79;2020-07-15T18:53:35.329077
107;86;2020-07-15T18:54:09.374587
108;88;2020-07-15T18:54:46.953161
109;137;2020-07-15T18:55:29.482210
110;288;2020-07-15T18:56:29.236873
111;163;2020-07-15T18:57:02.130238
112;174;2020-07-15T18:57:35.998705
113;409;2020-07-15T18:58:35.616225
114;161;2020-07-15T18:59:10.048991
115;363;2020-07-15T19:00:10.488789
116;229;2020-07-15T19:01:04.058554
117;226;2020-07-15T19:01:57.186580
118;181;2020-07-15T19:02:45.394011
119;224;2020-07-15T19:03:38.320773
120;174;2020-07-15T19:04:25.811502
121;107;2020-07-15T19:05:05.991904
122;110;2020-07-15T19:05:46.426862
123;116;2020-07-15T19:06:27.574667
124;52;2020-07-15T19:07:01.630525
125;52;2020-07-15T19:07:35.602197
126;50;2020-07-15T19:08:09.249063
127;59;2020-07-15T19:08:44.087273
128;252;2020-07-15T19:09:39.799842
129;49;2020-07-15T19:10:13.538127
