Episode;Reward;Time
0;16;2020-07-12T00:06:00.328125
1;26;2020-07-12T00:06:15.776025
2;25;2020-07-12T00:06:47.210661
3;49;2020-07-12T00:07:01.251326
4;27;2020-07-12T00:07:20.670540
5;26;2020-07-12T00:07:32.072228
6;14;2020-07-12T00:07:49.827463
7;19;2020-07-12T00:08:06.912644
8;19;2020-07-12T00:08:25.319628
9;20;2020-07-12T00:08:41.922811
10;33;2020-07-12T00:09:01.594035
11;40;2020-07-12T00:09:21.111490
12;10;2020-07-12T00:09:37.500190
13;27;2020-07-12T00:09:56.839783
14;11;2020-07-12T00:10:19.326383
15;29;2020-07-12T00:10:38.051364
16;32;2020-07-12T00:10:55.988886
17;35;2020-07-12T00:11:15.054201
18;34;2020-07-12T00:11:34.274422
19;55;2020-07-12T00:11:54.750229
20;29;2020-07-12T00:12:12.963626
21;48;2020-07-12T00:12:33.393819
22;138;2020-07-12T00:13:03.836452
23;50;2020-07-12T00:13:24.948540
24;46;2020-07-12T00:13:44.824966
25;52;2020-07-12T00:14:05.841306
26;54;2020-07-12T00:14:29.096790
27;48;2020-07-12T00:14:48.768853
28;32;2020-07-12T00:15:09.886475
29;51;2020-07-12T00:15:31.303535
30;52;2020-07-12T00:15:53.217256
31;49;2020-07-12T00:16:14.113086
32;46;2020-07-12T00:16:34.183473
33;53;2020-07-12T00:17:05.624384
34;48;2020-07-12T00:17:25.659336
35;47;2020-07-12T00:18:28.171893
36;48;2020-07-12T00:18:48.857825
37;50;2020-07-12T00:19:09.736907
38;135;2020-07-12T00:19:37.973924
39;51;2020-07-12T00:19:59.365817
40;47;2020-07-12T00:20:19.183115
41;47;2020-07-12T00:20:39.870247
42;48;2020-07-12T00:20:59.260198
43;47;2020-07-12T00:21:20.570812
44;47;2020-07-12T00:21:41.364768
45;48;2020-07-12T00:22:02.570005
46;51;2020-07-12T00:22:22.270277
47;45;2020-07-12T00:22:42.829568
48;51;2020-07-12T00:23:03.987978
49;38;2020-07-12T00:24:33.851292
50;34;2020-07-12T00:24:58.557368
51;37;2020-07-12T00:25:19.243896
52;78;2020-07-12T00:25:42.852826
53;67;2020-07-12T00:26:05.321104
54;221;2020-07-12T00:26:44.869633
55;108;2020-07-12T00:27:12.360739
56;48;2020-07-12T00:27:40.259275
57;110;2020-07-12T00:28:07.383830
58;49;2020-07-12T00:28:28.178590
59;117;2020-07-12T00:29:33.976869
60;49;2020-07-12T00:29:54.843384
61;55;2020-07-12T00:30:17.494050
62;122;2020-07-12T00:30:45.767476
63;55;2020-07-12T00:31:06.039705
64;50;2020-07-12T00:32:00.975582
65;157;2020-07-12T00:32:33.811547
66;180;2020-07-12T00:33:10.162921
67;59;2020-07-12T00:33:30.993778
68;61;2020-07-12T00:34:04.023701
69;168;2020-07-12T00:34:37.615297
70;379;2020-07-12T00:35:35.160532
71;216;2020-07-12T00:36:14.362131
72;359;2020-07-12T00:37:11.668038
73;377;2020-07-12T00:38:08.393997
74;403;2020-07-12T00:39:12.969889
75;111;2020-07-12T00:39:49.188124
76;70;2020-07-12T00:40:12.309890
77;201;2020-07-12T00:40:50.375045
78;188;2020-07-12T00:41:27.559466
79;500;2020-07-12T00:42:36.660664
80;42;2020-07-12T00:45:32.419625
81;500;2020-07-12T00:46:42.158340
82;365;2020-07-12T00:47:43.346929
83;500;2020-07-12T00:48:52.083748
84;303;2020-07-12T00:50:08.693129
85;343;2020-07-12T00:52:06.114212
86;500;2020-07-12T00:55:38.706400
87;500;2020-07-12T00:56:59.488822
88;500;2020-07-12T00:58:29.632072
89;500;2020-07-12T01:00:08.193657
90;120;2020-07-12T01:05:12.859704
91;65;2020-07-12T01:06:03.969652
92;500;2020-07-12T01:07:13.873987
93;500;2020-07-12T01:08:24.760301
94;500;2020-07-12T01:09:45.206497
95;71;2020-07-12T01:10:13.334523
96;118;2020-07-12T01:10:51.641979
97;70;2020-07-12T01:11:26.003380
98;500;2020-07-12T01:12:36.438528
99;500;2020-07-12T01:13:44.771535
