Episode;Steps;Reward;Time
0;62;51;2020-07-19T23:30:59.848767
1;29;18;2020-07-19T23:31:14.435535
2;35;24;2020-07-19T23:31:22.270755
3;46;35;2020-07-19T23:31:31.963328
4;32;21;2020-07-19T23:31:42.933791
5;27;16;2020-07-19T23:31:51.857156
6;35;24;2020-07-19T23:32:11.248140
7;27;16;2020-07-19T23:32:29.485884
8;31;20;2020-07-19T23:32:48.596506
9;32;21;2020-07-19T23:33:07.963854
10;32;21;2020-07-19T23:33:27.161863
11;34;23;2020-07-19T23:33:46.340551
12;39;28;2020-07-19T23:34:06.108235
13;40;29;2020-07-19T23:34:25.963295
14;45;34;2020-07-19T23:34:42.735276
15;60;49;2020-07-19T23:35:04.965240
16;25;14;2020-07-19T23:35:23.343556
17;62;51;2020-07-19T23:35:45.464136
18;139;128;2020-07-19T23:36:14.452801
19;149;138;2020-07-19T23:36:40.911114
20;140;129;2020-07-19T23:37:06.014863
21;342;331;2020-07-19T23:37:58.837762
22;469;458;2020-07-19T23:39:06.124175
23;68;57;2020-07-19T23:39:29.183996
24;152;141;2020-07-19T23:40:01.251501
25;118;107;2020-07-19T23:40:29.604042
26;114;103;2020-07-19T23:40:57.581870
27;77;66;2020-07-19T23:41:21.780304
28;121;110;2020-07-19T23:41:50.998582
29;116;105;2020-07-19T23:42:19.162210
30;204;193;2020-07-19T23:42:57.226683
31;500;500;2020-07-19T23:44:08.020426
32;54;43;2020-07-19T23:44:29.348737
33;500;500;2020-07-19T23:45:39.564562
34;121;110;2020-07-19T23:46:08.117103
35;500;500;2020-07-19T23:47:18.712314
36;500;500;2020-07-19T23:48:29.354670
37;427;416;2020-07-19T23:49:27.353039
38;489;478;2020-07-19T23:50:35.126825
39;31;20;2020-07-19T23:50:59.181730
40;500;500;2020-07-19T23:52:09.329597
41;500;500;2020-07-19T23:53:19.173288
42;500;500;2020-07-19T23:54:28.882271
43;500;500;2020-07-19T23:55:39.525496
44;500;500;2020-07-19T23:56:50.182673
45;500;500;2020-07-19T23:58:01.039634
46;500;500;2020-07-19T23:59:11.421499
47;500;500;2020-07-20T00:00:18.595774
