Episode;Steps;Reward;Time
0;22;11;2020-07-19T20:54:08.063011
1;31;20;2020-07-19T20:54:19.619474
2;33;22;2020-07-19T20:54:29.238192
3;39;28;2020-07-19T20:54:41.186238
4;35;24;2020-07-19T20:54:49.904710
5;34;23;2020-07-19T20:55:02.229506
6;30;19;2020-07-19T20:55:32.796485
7;37;26;2020-07-19T20:56:04.137738
8;28;17;2020-07-19T20:56:34.322209
9;59;48;2020-07-19T20:57:08.093608
10;84;73;2020-07-19T20:57:44.570189
11;83;72;2020-07-19T20:58:20.935949
12;33;22;2020-07-19T20:58:51.840864
13;63;52;2020-07-19T20:59:26.027850
14;26;15;2020-07-19T20:59:56.177042
15;25;14;2020-07-19T21:00:26.232296
16;29;18;2020-07-19T21:00:56.759094
17;81;70;2020-07-19T21:01:32.887232
18;50;39;2020-07-19T21:02:05.681062
19;47;36;2020-07-19T21:02:37.966339
20;47;36;2020-07-19T21:03:10.421125
21;50;39;2020-07-19T21:03:43.076523
22;47;36;2020-07-19T21:04:15.544546
23;47;36;2020-07-19T21:04:47.609209
24;98;87;2020-07-19T21:05:25.615899
25;41;30;2020-07-19T21:06:13.253778
26;45;34;2020-07-19T21:06:32.908520
27;41;30;2020-07-19T21:06:53.429358
28;29;18;2020-07-19T21:07:22.832829
29;44;33;2020-07-19T21:07:50.566778
30;27;16;2020-07-19T21:08:11.183725
31;49;38;2020-07-19T21:08:31.265814
32;44;33;2020-07-19T21:09:03.351084
33;37;26;2020-07-19T21:09:34.636845
34;73;62;2020-07-19T21:10:09.951629
35;51;40;2020-07-19T21:10:42.838357
36;57;46;2020-07-19T21:11:16.341458
37;65;54;2020-07-19T21:11:50.768384
38;66;55;2020-07-19T21:12:25.042202
39;89;78;2020-07-19T21:13:02.075928
40;28;17;2020-07-19T21:13:31.841721
41;103;92;2020-07-19T21:14:10.510320
42;30;19;2020-07-19T21:14:41.079676
43;29;18;2020-07-19T21:15:11.464260
44;141;130;2020-07-19T21:15:53.774994
45;32;21;2020-07-19T21:16:24.649052
46;500;500;2020-07-19T21:17:46.852371
47;213;202;2020-07-19T21:18:41.479648
48;133;122;2020-07-19T21:19:23.396417
49;30;19;2020-07-19T21:19:53.964434
50;29;18;2020-07-19T21:20:24.433962
51;71;60;2020-07-19T21:20:59.477866
52;24;13;2020-07-19T21:21:29.401651
53;24;13;2020-07-19T21:21:59.270836
54;24;13;2020-07-19T21:22:29.170349
55;39;28;2020-07-19T21:23:00.758847
56;29;18;2020-07-19T21:23:31.311857
57;55;44;2020-07-19T21:24:04.214595
58;26;15;2020-07-19T21:24:34.351606
59;27;16;2020-07-19T21:25:04.530114
60;26;15;2020-07-19T21:25:34.628224
61;24;13;2020-07-19T21:26:04.483600
62;25;14;2020-07-19T21:26:34.457335
63;26;15;2020-07-19T21:27:04.624894
64;27;16;2020-07-19T21:27:35.069219
65;24;13;2020-07-19T21:28:04.974502
66;34;23;2020-07-19T21:28:35.995649
67;26;15;2020-07-19T21:29:06.154135
68;26;15;2020-07-19T21:29:36.352767
69;75;64;2020-07-19T21:30:11.535434
70;27;16;2020-07-19T21:30:41.783573
71;35;24;2020-07-19T21:31:12.957443
72;170;159;2020-07-19T21:31:58.944930
73;32;21;2020-07-19T21:32:29.718816
74;31;20;2020-07-19T21:33:00.449079
75;45;34;2020-07-19T21:33:32.655296
76;27;16;2020-07-19T21:34:02.747912
77;108;97;2020-07-19T21:34:41.620764
78;46;35;2020-07-19T21:35:13.947125
79;100;89;2020-07-19T21:35:52.251747
80;43;32;2020-07-19T21:36:24.105128
81;30;19;2020-07-19T21:36:54.560363
82;35;24;2020-07-19T21:37:25.685028
83;36;25;2020-07-19T21:37:56.708952
84;30;19;2020-07-19T21:38:19.785792
85;108;97;2020-07-19T21:38:47.877212
86;38;27;2020-07-19T21:39:06.903037
87;44;33;2020-07-19T21:39:26.588268
88;41;30;2020-07-19T21:39:45.930121
89;500;500;2020-07-19T21:41:11.145894
90;402;391;2020-07-19T21:42:20.147841
91;500;500;2020-07-19T21:43:39.927540
92;500;500;2020-07-19T21:45:02.326133
93;83;72;2020-07-19T21:45:49.804145
94;243;232;2020-07-19T21:46:42.759345
95;345;334;2020-07-19T21:47:41.454258
96;500;500;2020-07-19T21:49:25.848397
97;500;500;2020-07-19T21:50:48.038012
98;500;500;2020-07-19T21:52:10.240862
99;500;500;2020-07-19T21:53:32.596067
100;500;500;2020-07-19T21:54:56.928589
