Episode;Steps;Reward;Time
0;34;23;2020-07-28T03:20:18.063851
1;69;58;2020-07-28T03:20:32.025127
2;36;25;2020-07-28T03:20:44.320317
3;26;15;2020-07-28T03:20:53.693515
4;67;56;2020-07-28T03:21:05.570700
5;55;44;2020-07-28T03:21:25.957319
6;30;19;2020-07-28T03:21:56.520124
7;28;17;2020-07-28T03:22:26.871846
8;30;19;2020-07-28T03:22:57.234987
9;40;29;2020-07-28T03:23:28.596975
10;47;36;2020-07-28T03:24:01.041910
11;55;44;2020-07-28T03:24:32.921285
12;35;24;2020-07-28T03:25:04.024029
13;35;24;2020-07-28T03:25:35.130532
14;49;38;2020-07-28T03:26:07.762262
15;58;47;2020-07-28T03:26:41.405657
16;42;31;2020-07-28T03:27:13.300634
17;42;31;2020-07-28T03:27:45.123542
18;44;33;2020-07-28T03:28:17.215281
19;56;45;2020-07-28T03:28:50.639954
20;61;50;2020-07-28T03:29:24.645164
21;58;47;2020-07-28T03:29:58.275803
22;38;27;2020-07-28T03:30:29.708147
23;38;27;2020-07-28T03:31:01.139152
24;63;52;2020-07-28T03:31:35.316973
25;47;36;2020-07-28T03:32:07.718956
26;62;51;2020-07-28T03:32:41.809170
27;56;45;2020-07-28T03:33:15.127591
28;60;49;2020-07-28T03:33:48.967613
29;165;154;2020-07-28T03:34:29.266516
30;52;41;2020-07-28T03:34:49.543356
31;54;43;2020-07-28T03:35:10.068820
32;62;51;2020-07-28T03:35:31.372173
33;59;48;2020-07-28T03:35:54.555035
34;64;53;2020-07-28T03:36:28.827484
35;74;63;2020-07-28T03:37:04.295813
36;500;500;2020-07-28T03:38:26.501871
37;56;45;2020-07-28T03:38:59.872898
38;49;38;2020-07-28T03:39:32.535376
39;91;80;2020-07-28T03:40:09.809009
40;111;100;2020-07-28T03:40:49.338376
41;114;103;2020-07-28T03:41:29.154364
42;91;80;2020-07-28T03:42:06.440713
43;500;500;2020-07-28T03:43:28.523506
44;500;500;2020-07-28T03:44:43.345632
45;500;500;2020-07-28T03:45:52.722057
46;500;500;2020-07-28T03:47:14.625965
47;82;71;2020-07-28T03:47:50.905996
48;218;207;2020-07-28T03:48:42.088483
49;500;500;2020-07-28T03:50:04.209613
50;500;500;2020-07-28T03:51:24.917658
51;75;64;2020-07-28T03:52:00.453386
52;128;117;2020-07-28T03:52:41.503787
53;128;117;2020-07-28T03:53:22.787401
54;131;120;2020-07-28T03:54:04.448394
55;74;63;2020-07-28T03:54:39.522760
56;500;500;2020-07-28T03:55:59.186037
57;500;500;2020-07-28T03:57:21.540452
58;500;500;2020-07-28T03:58:43.765264
