Episode;Reward;Time
0;254;2020-07-09T14:11:04.130775
1;168;2020-07-09T14:11:17.384059
2;152;2020-07-09T14:11:29.727910
3;244;2020-07-09T14:11:47.180779
4;209;2020-07-09T14:12:02.759094
5;219;2020-07-09T14:12:19.581009
6;181;2020-07-09T14:12:56.564385
7;320;2020-07-09T14:13:44.885696
8;206;2020-07-09T14:14:25.501750
9;216;2020-07-09T14:15:05.045227
10;187;2020-07-09T14:15:44.876261
11;254;2020-07-09T14:16:29.091950
12;195;2020-07-09T14:17:09.816759
13;212;2020-07-09T14:17:50.758511
14;218;2020-07-09T14:18:32.236516
15;285;2020-07-09T14:19:18.720361
16;176;2020-07-09T14:19:57.408379
17;274;2020-07-09T14:20:41.954136
18;218;2020-07-09T14:21:23.305478
19;275;2020-07-09T14:22:08.350343
20;479;2020-07-09T14:23:06.196101
21;194;2020-07-09T14:23:46.406891
22;186;2020-07-09T14:24:25.502813
23;308;2020-07-09T14:25:04.395059
24;309;2020-07-09T14:25:51.925906
25;334;2020-07-09T14:26:40.747388
26;425;2020-07-09T14:27:34.696973
27;239;2020-07-09T14:28:17.211717
28;444;2020-07-09T14:29:12.130779
29;409;2020-07-09T14:30:04.581155
30;494;2020-07-09T14:31:02.520673
31;322;2020-07-09T14:31:50.580660
32;554;2020-07-09T14:32:49.345024
33;719;2020-07-09T14:33:52.696474
34;723;2020-07-09T14:34:56.802567
35;323;2020-07-09T14:35:44.603892
36;232;2020-07-09T14:36:27.011527
37;547;2020-07-09T14:37:27.133829
38;255;2020-07-09T14:38:09.950506
39;294;2020-07-09T14:38:55.642971
40;148;2020-07-09T14:39:32.996806
41;128;2020-07-09T14:40:08.933192
42;181;2020-07-09T14:40:48.188004
43;158;2020-07-09T14:41:25.733198
44;435;2020-07-09T14:42:19.595111
45;384;2020-07-09T14:43:11.102252
46;423;2020-07-09T14:44:05.541481
47;974;2020-07-09T14:45:32.102758
48;702;2020-07-09T14:46:42.916894
49;1000;2020-07-09T14:48:11.221711
50;1000;2020-07-09T14:49:38.571050
51;1000;2020-07-09T14:51:06.144890
52;1000;2020-07-09T14:52:33.838630
53;1000;2020-07-09T14:54:01.719578
54;1000;2020-07-09T14:55:29.439159
55;374;2020-07-09T14:56:20.059136
56;764;2020-07-09T14:57:34.215294
57;783;2020-07-09T14:58:49.691982
58;1000;2020-07-09T15:00:15.849691
59;780;2020-07-09T15:01:31.007882
60;1000;2020-07-09T15:02:58.959904
61;809;2020-07-09T15:04:16.768231
62;1000;2020-07-09T15:05:45.167795
63;773;2020-07-09T15:06:58.214459
64;1000;2020-07-09T15:08:14.025854
65;772;2020-07-09T15:09:28.969627
66;390;2020-07-09T15:10:09.284894
67;1000;2020-07-09T15:11:37.367723
68;1000;2020-07-09T15:12:55.423157
69;1000;2020-07-09T15:14:23.305913
70;388;2020-07-09T15:15:14.809850
71;398;2020-07-09T15:16:07.165912
72;1000;2020-07-09T15:17:23.337332
73;413;2020-07-09T15:18:16.779006
74;377;2020-07-09T15:19:08.067975
75;1000;2020-07-09T15:20:35.810390
76;422;2020-07-09T15:21:29.744117
77;974;2020-07-09T15:22:56.673450
78;1000;2020-07-09T15:24:24.548213
79;398;2020-07-09T15:25:16.872611
80;339;2020-07-09T15:25:54.226336
81;1000;2020-07-09T15:27:22.327007
82;1000;2020-07-09T15:28:50.279428
83;1000;2020-07-09T15:30:17.852261
84;643;2020-07-09T15:31:24.816323
85;1000;2020-07-09T15:32:52.495438
86;1000;2020-07-09T15:34:20.123686
87;734;2020-07-09T15:35:33.035923
