Episode;Steps;Reward;Time
0;117;106;2020-07-18T10:11:56.364344
1;96;85;2020-07-18T10:12:10.877718
2;77;66;2020-07-18T10:12:23.307086
3;85;74;2020-07-18T10:12:36.607862
4;127;116;2020-07-18T10:12:54.491885
5;103;92;2020-07-18T10:13:10.617902
6;116;105;2020-07-18T10:13:52.064647
7;70;59;2020-07-18T10:14:28.208691
8;87;76;2020-07-18T10:15:06.055664
9;140;129;2020-07-18T10:15:50.118699
10;66;55;2020-07-18T10:16:25.962924
11;72;61;2020-07-18T10:17:02.564684
12;98;87;2020-07-18T10:17:42.025889
13;85;74;2020-07-18T10:18:19.162414
14;69;58;2020-07-18T10:18:55.287192
15;61;50;2020-07-18T10:19:18.482908
16;79;68;2020-07-18T10:19:43.108408
17;78;67;2020-07-18T10:20:07.628633
18;167;156;2020-07-18T10:20:54.816757
19;234;223;2020-07-18T10:21:49.427981
20;224;213;2020-07-18T10:22:42.836720
21;245;234;2020-07-18T10:23:38.707318
22;182;171;2020-07-18T10:24:27.340303
23;184;173;2020-07-18T10:25:16.366225
24;221;210;2020-07-18T10:26:09.556700
25;184;173;2020-07-18T10:26:58.237819
26;216;205;2020-07-18T10:27:50.852763
27;254;243;2020-07-18T10:28:47.746927
28;1000;1000;2020-07-18T10:31:08.150776
29;675;664;2020-07-18T10:32:52.243440
30;1000;1000;2020-07-18T10:35:12.730911
31;1000;1000;2020-07-18T10:37:32.677807
32;193;182;2020-07-18T10:38:22.682007
33;180;169;2020-07-18T10:39:11.341424
34;206;195;2020-07-18T10:40:02.619433
35;663;652;2020-07-18T10:41:44.947674
36;1000;1000;2020-07-18T10:44:03.910576
37;1000;1000;2020-07-18T10:46:24.437293
38;1000;1000;2020-07-18T10:48:44.927625
39;1000;1000;2020-07-18T10:51:05.368115
40;1000;1000;2020-07-18T10:53:25.935950
41;1000;1000;2020-07-18T10:55:46.292001
42;1000;1000;2020-07-18T10:58:06.583211
