Episode;Reward;Time
0;92;2020-07-12T12:16:08.259898
1;81;2020-07-12T12:16:21.273720
2;91;2020-07-12T12:16:35.379046
3;75;2020-07-12T12:16:47.660498
4;160;2020-07-12T12:17:09.087198
5;88;2020-07-12T12:17:23.132884
6;162;2020-07-12T12:18:10.107275
7;96;2020-07-12T12:18:50.343204
8;70;2020-07-12T12:19:27.243097
9;86;2020-07-12T12:20:04.634458
10;254;2020-07-12T12:21:01.773453
11;68;2020-07-12T12:21:38.369703
12;110;2020-07-12T12:22:18.201537
13;153;2020-07-12T12:23:03.545790
14;123;2020-07-12T12:23:46.466564
15;133;2020-07-12T12:24:30.020091
16;85;2020-07-12T12:25:07.199898
17;105;2020-07-12T12:25:46.834400
18;84;2020-07-12T12:26:25.150540
19;92;2020-07-12T12:27:05.194437
20;82;2020-07-12T12:27:42.689216
21;71;2020-07-12T12:28:19.909683
22;73;2020-07-12T12:28:57.151610
23;70;2020-07-12T12:29:33.225634
24;55;2020-07-12T12:30:06.702837
25;59;2020-07-12T12:30:42.225346
26;55;2020-07-12T12:31:15.388804
27;60;2020-07-12T12:31:46.859566
28;53;2020-07-12T12:32:21.823007
29;53;2020-07-12T12:32:56.981657
30;73;2020-07-12T12:33:33.274792
31;233;2020-07-12T12:34:28.988148
32;275;2020-07-12T12:35:28.810027
33;500;2020-07-12T12:36:48.761584
34;500;2020-07-12T12:38:12.091989
35;295;2020-07-12T12:39:14.023908
36;500;2020-07-12T12:40:37.121774
37;500;2020-07-12T12:42:00.079285
38;500;2020-07-12T12:43:21.462126
39;291;2020-07-12T12:44:22.351845
40;500;2020-07-12T12:45:45.358723
41;276;2020-07-12T12:46:44.901682
42;500;2020-07-12T12:48:07.806698
43;500;2020-07-12T12:49:30.378929
44;500;2020-07-12T12:50:52.251047
45;500;2020-07-12T12:52:16.079309
46;500;2020-07-12T12:53:39.893721
47;500;2020-07-12T12:55:00.054793
48;500;2020-07-12T12:56:23.817661
49;500;2020-07-12T12:57:53.900668
