Episode;Reward;Time
0;128;2020-07-13T04:29:00.319397
1;74;2020-07-13T04:29:12.496287
2;115;2020-07-13T04:29:29.159217
3;101;2020-07-13T04:29:44.316577
4;98;2020-07-13T04:29:59.135073
5;74;2020-07-13T04:30:11.578690
6;96;2020-07-13T04:30:55.487669
7;87;2020-07-13T04:31:37.108390
8;76;2020-07-13T04:32:13.276632
9;68;2020-07-13T04:32:50.522517
10;96;2020-07-13T04:33:31.173648
11;87;2020-07-13T04:34:12.851444
12;80;2020-07-13T04:34:55.048950
13;91;2020-07-13T04:35:38.284262
14;178;2020-07-13T04:36:22.881641
15;85;2020-07-13T04:37:05.254252
16;81;2020-07-13T04:37:47.972514
17;73;2020-07-13T04:38:22.644233
18;71;2020-07-13T04:38:51.129851
19;72;2020-07-13T04:39:28.253584
20;63;2020-07-13T04:40:08.294643
21;55;2020-07-13T04:40:47.785267
22;56;2020-07-13T04:41:27.563882
23;62;2020-07-13T04:42:07.580501
24;64;2020-07-13T04:42:38.531416
25;54;2020-07-13T04:43:10.035820
26;64;2020-07-13T04:43:43.734645
27;55;2020-07-13T04:44:23.367533
28;53;2020-07-13T04:45:02.832419
29;62;2020-07-13T04:45:43.188610
30;106;2020-07-13T04:46:19.828677
31;97;2020-07-13T04:46:52.083280
32;261;2020-07-13T04:47:53.538369
33;210;2020-07-13T04:48:46.410060
34;263;2020-07-13T04:49:44.987318
35;266;2020-07-13T04:50:48.038418
36;260;2020-07-13T04:51:49.676037
37;269;2020-07-13T04:52:52.913761
38;256;2020-07-13T04:53:54.414910
39;433;2020-07-13T04:55:15.845141
40;492;2020-07-13T04:56:40.362684
41;253;2020-07-13T04:57:32.266145
42;482;2020-07-13T04:58:59.039480
43;261;2020-07-13T04:59:57.903434
44;249;2020-07-13T05:00:45.673352
45;510;2020-07-13T05:02:14.237288
46;540;2020-07-13T05:03:41.508412
47;535;2020-07-13T05:05:10.225412
48;559;2020-07-13T05:06:43.002864
49;1000;2020-07-13T05:09:00.785540
