Episode;Reward;Time
0;199;2020-07-14T13:52:23.649505
1;121;2020-07-14T13:52:40.782732
2;169;2020-07-14T13:53:03.046606
3;136;2020-07-14T13:53:21.782937
4;118;2020-07-14T13:53:38.595781
5;97;2020-07-14T13:53:54.009650
6;156;2020-07-14T13:54:39.455924
7;94;2020-07-14T13:55:18.072294
8;89;2020-07-14T13:55:56.221432
9;99;2020-07-14T13:56:35.505773
10;91;2020-07-14T13:57:13.955247
11;88;2020-07-14T13:57:52.023310
12;102;2020-07-14T13:58:31.524311
13;110;2020-07-14T13:59:12.007416
14;145;2020-07-14T13:59:56.149021
15;151;2020-07-14T14:00:41.051730
16;207;2020-07-14T14:01:31.975571
17;83;2020-07-14T14:02:09.033034
18;149;2020-07-14T14:02:53.662169
19;200;2020-07-14T14:03:43.659536
20;233;2020-07-14T14:04:37.529425
21;123;2020-07-14T14:05:18.918847
22;233;2020-07-14T14:06:12.804871
23;370;2020-07-14T14:07:21.510214
24;457;2020-07-14T14:08:39.983049
25;619;2020-07-14T14:10:16.092100
26;460;2020-07-14T14:11:34.925904
27;982;2020-07-14T14:13:50.593374
28;914;2020-07-14T14:15:45.563716
29;902;2020-07-14T14:17:52.878648
30;901;2020-07-14T14:20:00.065216
31;1000;2020-07-14T14:22:16.896056
32;1000;2020-07-14T14:24:33.673856
33;1000;2020-07-14T14:26:50.527506
34;1000;2020-07-14T14:29:06.646006
35;1000;2020-07-14T14:31:22.542758
36;1000;2020-07-14T14:33:39.505495
