Episode;Reward;Time
0;177;2020-07-11T21:44:05.279711
1;94;2020-07-11T21:44:19.727905
2;138;2020-07-11T21:44:38.934804
3;66;2020-07-11T21:44:50.347789
4;84;2020-07-11T21:45:03.718684
5;56;2020-07-11T21:45:14.221645
6;70;2020-07-11T21:45:49.730657
7;70;2020-07-11T21:46:25.322368
8;87;2020-07-11T21:47:04.554707
9;106;2020-07-11T21:47:44.758749
10;72;2020-07-11T21:48:22.340593
11;129;2020-07-11T21:49:06.909390
12;56;2020-07-11T21:49:40.548811
13;58;2020-07-11T21:50:12.758931
14;69;2020-07-11T21:50:49.554876
15;64;2020-07-11T21:51:25.389262
16;52;2020-07-11T21:52:01.120042
17;68;2020-07-11T21:52:34.287353
18;91;2020-07-11T21:53:06.827233
19;66;2020-07-11T21:53:42.792350
20;59;2020-07-11T21:54:16.816280
21;61;2020-07-11T21:54:51.410838
22;178;2020-07-11T21:55:38.840397
23;48;2020-07-11T21:56:11.696391
24;84;2020-07-11T21:56:49.472933
25;38;2020-07-11T21:57:23.191345
26;54;2020-07-11T21:57:57.918493
27;137;2020-07-11T21:58:38.212749
28;83;2020-07-11T21:59:14.848127
29;72;2020-07-11T21:59:49.519860
30;56;2020-07-11T22:00:18.550500
31;66;2020-07-11T22:00:49.741433
32;68;2020-07-11T22:01:27.146265
33;50;2020-07-11T22:02:02.309351
34;84;2020-07-11T22:02:40.676532
35;86;2020-07-11T22:03:19.375776
36;180;2020-07-11T22:04:02.557431
37;260;2020-07-11T22:04:59.714568
38;263;2020-07-11T22:05:58.096510
39;279;2020-07-11T22:06:58.490648
40;276;2020-07-11T22:07:53.226614
41;254;2020-07-11T22:08:50.500943
42;263;2020-07-11T22:09:45.263064
43;255;2020-07-11T22:10:43.383605
44;274;2020-07-11T22:11:42.179275
45;265;2020-07-11T22:12:39.135806
46;290;2020-07-11T22:13:41.458199
47;275;2020-07-11T22:14:41.478814
48;538;2020-07-11T22:16:10.050606
49;276;2020-07-11T22:17:08.736914
