Episode;Reward;Time
0;175;2020-07-09T18:41:49.844169
1;241;2020-07-09T18:42:07.595862
2;157;2020-07-09T18:42:20.583255
3;189;2020-07-09T18:42:35.264950
4;177;2020-07-09T18:42:49.318367
5;210;2020-07-09T18:43:05.970109
6;221;2020-07-09T18:43:51.855070
7;374;2020-07-09T18:44:47.203568
8;291;2020-07-09T18:45:37.931534
9;239;2020-07-09T18:46:24.783720
10;200;2020-07-09T18:47:04.384158
11;250;2020-07-09T18:47:51.804583
12;206;2020-07-09T18:48:35.793205
13;174;2020-07-09T18:49:17.488187
14;157;2020-07-09T18:49:57.901142
15;125;2020-07-09T18:50:36.474233
16;138;2020-07-09T18:51:17.504302
17;164;2020-07-09T18:51:59.347573
18;157;2020-07-09T18:52:41.855841
19;160;2020-07-09T18:53:24.814504
20;200;2020-07-09T18:54:08.930028
21;140;2020-07-09T18:54:44.501896
22;214;2020-07-09T18:55:25.873388
23;185;2020-07-09T18:56:09.437819
24;191;2020-07-09T18:56:53.144588
25;106;2020-07-09T18:57:32.263412
26;187;2020-07-09T18:58:14.005047
27;79;2020-07-09T18:58:50.055176
28;97;2020-07-09T18:59:22.771145
29;104;2020-07-09T19:00:01.622158
30;108;2020-07-09T19:00:40.346743
31;110;2020-07-09T19:01:14.826385
32;88;2020-07-09T19:01:47.527368
33;77;2020-07-09T19:02:23.544812
34;92;2020-07-09T19:02:59.916263
35;100;2020-07-09T19:03:38.705354
36;121;2020-07-09T19:04:18.565976
37;108;2020-07-09T19:04:57.126092
38;118;2020-07-09T19:05:37.373549
39;133;2020-07-09T19:06:15.016969
40;236;2020-07-09T19:07:01.965768
41;332;2020-07-09T19:07:54.852762
42;331;2020-07-09T19:08:47.360588
43;395;2020-07-09T19:09:43.876484
44;202;2020-07-09T19:10:25.687627
45;366;2020-07-09T19:11:20.745321
46;351;2020-07-09T19:12:09.360700
47;290;2020-07-09T19:12:47.080908
48;299;2020-07-09T19:13:33.537139
49;278;2020-07-09T19:14:17.510095
50;340;2020-07-09T19:15:11.110642
51;352;2020-07-09T19:16:05.186022
52;368;2020-07-09T19:16:58.433017
53;380;2020-07-09T19:17:54.310370
54;685;2020-07-09T19:19:00.786290
55;700;2020-07-09T19:20:16.292004
56;636;2020-07-09T19:21:28.288004
57;1000;2020-07-09T19:22:58.416882
58;588;2020-07-09T19:24:06.495151
59;585;2020-07-09T19:25:13.094112
60;592;2020-07-09T19:26:21.875342
61;573;2020-07-09T19:27:29.298430
62;1000;2020-07-09T19:29:00.717573
63;1000;2020-07-09T19:30:30.490865
64;1000;2020-07-09T19:32:00.326296
65;1000;2020-07-09T19:33:33.511543
66;1000;2020-07-09T19:35:00.001049
67;947;2020-07-09T19:36:30.310828
68;568;2020-07-09T19:37:37.297160
69;1000;2020-07-09T19:39:09.068643
