Episode;Reward;Time
0;264;2020-07-10T21:35:31.200650
1;167;2020-07-10T21:35:44.528625
2;157;2020-07-10T21:35:57.301060
3;139;2020-07-10T21:36:08.995978
4;238;2020-07-10T21:36:26.434207
5;203;2020-07-10T21:36:42.458498
6;261;2020-07-10T21:37:18.327247
7;181;2020-07-10T21:37:58.643602
8;281;2020-07-10T21:38:46.408847
9;250;2020-07-10T21:39:34.038829
10;371;2020-07-10T21:40:28.780268
11;164;2020-07-10T21:41:10.781798
12;145;2020-07-10T21:41:51.445902
13;216;2020-07-10T21:42:28.452074
14;186;2020-07-10T21:43:02.160668
15;243;2020-07-10T21:43:43.831851
16;225;2020-07-10T21:44:25.453832
17;249;2020-07-10T21:45:09.514127
18;161;2020-07-10T21:45:48.004861
19;177;2020-07-10T21:46:30.716036
20;173;2020-07-10T21:47:08.664874
21;172;2020-07-10T21:47:44.649213
22;146;2020-07-10T21:48:19.726469
23;150;2020-07-10T21:48:59.375353
24;120;2020-07-10T21:49:35.761049
25;114;2020-07-10T21:50:09.787565
26;137;2020-07-10T21:50:45.950008
27;127;2020-07-10T21:51:20.632390
28;114;2020-07-10T21:51:58.671900
29;122;2020-07-10T21:52:38.471291
30;111;2020-07-10T21:53:16.361176
31;106;2020-07-10T21:53:47.807567
32;105;2020-07-10T21:54:25.091730
33;122;2020-07-10T21:54:59.023835
34;118;2020-07-10T21:55:38.159461
35;133;2020-07-10T21:56:06.043184
36;133;2020-07-10T21:56:43.833136
37;167;2020-07-10T21:57:19.757248
38;325;2020-07-10T21:58:00.583190
39;437;2020-07-10T21:58:58.719045
40;411;2020-07-10T21:59:55.756702
41;997;2020-07-10T22:01:25.682603
42;931;2020-07-10T22:02:53.313637
43;471;2020-07-10T22:03:53.873234
44;934;2020-07-10T22:05:10.912653
45;438;2020-07-10T22:06:09.654503
46;481;2020-07-10T22:07:09.673720
47;403;2020-07-10T22:07:59.073367
48;408;2020-07-10T22:08:55.910502
49;234;2020-07-10T22:09:42.094355
50;352;2020-07-10T22:10:26.522509
51;346;2020-07-10T22:11:18.404494
52;425;2020-07-10T22:12:15.304164
53;439;2020-07-10T22:13:08.259093
54;324;2020-07-10T22:13:55.830714
55;432;2020-07-10T22:14:51.415684
56;579;2020-07-10T22:15:58.562869
57;963;2020-07-10T22:17:29.191870
58;397;2020-07-10T22:18:25.110539
59;1073;2020-07-10T22:20:02.195441
60;1055;2020-07-10T22:21:35.351322
61;1936;2020-07-10T22:24:01.411933
62;972;2020-07-10T22:25:22.246183
63;1015;2020-07-10T22:26:55.000203
64;950;2020-07-10T22:28:23.331750
65;1936;2020-07-10T22:30:49.157761
66;1014;2020-07-10T22:32:21.207678
67;1106;2020-07-10T22:33:54.751095
68;1939;2020-07-10T22:36:19.527103
69;2000;2020-07-10T22:38:49.129032
70;994;2020-07-10T22:40:20.192544
71;2000;2020-07-10T22:42:51.880372
72;1249;2020-07-10T22:44:38.858931
73;1016;2020-07-10T22:46:11.819564
74;1053;2020-07-10T22:47:47.593834
75;2000;2020-07-10T22:50:19.290453
76;2000;2020-07-10T22:52:50.365448
77;2000;2020-07-10T22:55:14.935836
78;2000;2020-07-10T22:57:46.109875
79;2000;2020-07-10T23:00:18.047646
80;2000;2020-07-10T23:02:48.549917
81;2000;2020-07-10T23:05:18.718140
82;2000;2020-07-10T23:07:38.062859
83;1087;2020-07-10T23:09:12.099686
84;2000;2020-07-10T23:11:37.859479
85;1136;2020-07-10T23:13:18.697965
86;2000;2020-07-10T23:15:49.274338
87;2000;2020-07-10T23:18:19.629007
88;2000;2020-07-10T23:20:51.715783
89;2000;2020-07-10T23:23:20.893237
