Episode;Reward;Time
0;157;2020-07-12T16:53:54.139407
1;226;2020-07-12T16:54:22.663479
2;103;2020-07-12T16:54:37.956925
3;136;2020-07-12T16:54:56.800710
4;70;2020-07-12T16:55:08.528490
5;133;2020-07-12T16:55:27.472248
6;83;2020-07-12T16:55:54.186877
7;88;2020-07-12T16:56:21.701499
8;161;2020-07-12T16:56:57.190295
9;60;2020-07-12T16:57:21.267230
10;83;2020-07-12T16:57:46.476537
11;61;2020-07-12T16:58:10.811388
12;63;2020-07-12T16:58:35.388389
13;95;2020-07-12T16:59:00.722235
14;75;2020-07-12T16:59:25.676744
15;83;2020-07-12T16:59:50.639632
16;138;2020-07-12T17:00:23.402593
17;83;2020-07-12T17:00:49.471993
18;63;2020-07-12T17:01:12.396998
19;58;2020-07-12T17:01:36.083300
20;59;2020-07-12T17:01:59.586766
21;65;2020-07-12T17:02:20.659793
22;64;2020-07-12T17:02:45.717098
23;50;2020-07-12T17:03:06.681617
24;54;2020-07-12T17:03:30.178256
25;57;2020-07-12T17:03:53.839295
26;190;2020-07-12T17:04:32.131704
27;159;2020-07-12T17:05:05.010566
28;233;2020-07-12T17:05:47.635772
29;297;2020-07-12T17:06:36.154450
30;269;2020-07-12T17:07:21.521322
31;268;2020-07-12T17:08:07.254121
32;285;2020-07-12T17:08:55.704278
33;273;2020-07-12T17:09:43.280634
34;284;2020-07-12T17:10:33.023999
35;277;2020-07-12T17:11:21.614253
36;205;2020-07-12T17:12:01.333383
37;278;2020-07-12T17:12:49.372039
38;295;2020-07-12T17:13:40.328138
39;219;2020-07-12T17:14:21.916161
40;278;2020-07-12T17:15:10.767153
41;290;2020-07-12T17:15:58.229737
42;303;2020-07-12T17:16:49.728910
43;311;2020-07-12T17:17:38.899798
44;294;2020-07-12T17:18:28.767602
45;297;2020-07-12T17:19:19.399380
46;299;2020-07-12T17:20:10.273934
47;298;2020-07-12T17:21:01.253180
48;302;2020-07-12T17:21:52.014557
49;310;2020-07-12T17:22:43.298759
50;320;2020-07-12T17:23:35.314779
51;308;2020-07-12T17:24:26.411576
52;303;2020-07-12T17:25:17.248886
53;299;2020-07-12T17:26:07.633410
54;296;2020-07-12T17:26:57.991260
55;305;2020-07-12T17:27:48.889021
56;306;2020-07-12T17:28:39.864356
57;300;2020-07-12T17:29:28.921162
58;305;2020-07-12T17:30:16.100421
59;319;2020-07-12T17:31:09.227057
60;302;2020-07-12T17:32:00.704400
61;305;2020-07-12T17:32:50.108303
62;313;2020-07-12T17:33:41.675336
63;316;2020-07-12T17:34:33.569601
64;304;2020-07-12T17:35:25.139949
65;309;2020-07-12T17:36:16.263193
66;316;2020-07-12T17:37:08.294334
67;322;2020-07-12T17:38:01.873882
68;299;2020-07-12T17:38:52.748296
69;301;2020-07-12T17:39:44.011050
