Episode;Steps;Reward;Time
0;147;136;2020-07-19T12:25:01.404019
1;114;103;2020-07-19T12:25:16.872138
2;110;99;2020-07-19T12:25:31.909520
3;132;121;2020-07-19T12:25:49.333608
4;88;77;2020-07-19T12:26:01.963433
5;99;88;2020-07-19T12:26:16.171092
6;100;89;2020-07-19T12:26:44.378208
7;169;158;2020-07-19T12:27:20.090224
8;128;117;2020-07-19T12:27:51.407144
9;98;87;2020-07-19T12:28:18.387737
10;128;117;2020-07-19T12:28:48.872717
11;104;93;2020-07-19T12:29:16.418592
12;205;194;2020-07-19T12:29:55.351961
13;94;83;2020-07-19T12:30:22.551024
14;122;111;2020-07-19T12:30:52.808122
15;119;108;2020-07-19T12:31:22.353710
16;206;195;2020-07-19T12:32:02.036410
17;198;187;2020-07-19T12:32:40.812822
18;221;210;2020-07-19T12:33:22.018019
19;216;205;2020-07-19T12:34:02.059814
20;211;200;2020-07-19T12:34:42.118526
21;226;215;2020-07-19T12:35:24.320418
22;222;211;2020-07-19T12:36:06.135056
23;227;216;2020-07-19T12:36:48.191672
24;208;197;2020-07-19T12:37:27.950175
25;231;220;2020-07-19T12:38:10.779074
26;236;225;2020-07-19T12:38:54.003129
27;1000;1000;2020-07-19T12:41:02.284020
28;1000;1000;2020-07-19T12:43:06.254292
29;1000;1000;2020-07-19T12:45:07.710974
30;1000;1000;2020-07-19T12:47:16.561088
31;928;917;2020-07-19T12:49:17.597965
32;1000;1000;2020-07-19T12:51:26.144396
33;908;897;2020-07-19T12:53:24.404614
34;1000;1000;2020-07-19T12:55:25.822356
35;473;462;2020-07-19T12:56:35.340065
36;1000;1000;2020-07-19T12:58:36.646523
37;478;467;2020-07-19T12:59:40.185609
38;1000;1000;2020-07-19T13:01:48.714536
