Episode;Steps;Reward;Time
0;122;111;2020-07-19T17:06:40.939639
1;88;77;2020-07-19T17:06:53.580534
2;137;126;2020-07-19T17:07:11.621043
3;105;94;2020-07-19T17:07:26.130303
4;102;91;2020-07-19T17:07:40.323184
5;139;128;2020-07-19T17:07:58.976196
6;95;84;2020-07-19T17:08:37.085370
7;125;114;2020-07-19T17:09:18.473001
8;68;57;2020-07-19T17:09:53.532359
9;130;119;2020-07-19T17:10:35.509285
10;79;68;2020-07-19T17:11:11.450933
11;97;86;2020-07-19T17:11:49.686738
12;181;170;2020-07-19T17:12:36.957054
13;81;70;2020-07-19T17:13:13.379238
14;91;80;2020-07-19T17:13:50.892627
15;157;146;2020-07-19T17:14:35.875495
16;220;209;2020-07-19T17:15:27.895264
17;665;654;2020-07-19T17:16:57.527717
18;754;743;2020-07-19T17:18:47.960111
19;227;216;2020-07-19T17:19:40.786476
20;1000;1000;2020-07-19T17:22:00.333505
21;942;931;2020-07-19T17:24:13.530213
22;1000;1000;2020-07-19T17:26:26.327703
23;1000;1000;2020-07-19T17:28:39.601215
24;1000;1000;2020-07-19T17:30:59.154228
25;1000;1000;2020-07-19T17:33:18.659421
26;369;358;2020-07-19T17:34:27.433437
27;783;772;2020-07-19T17:36:22.498890
28;1000;1000;2020-07-19T17:38:41.648849
29;1000;1000;2020-07-19T17:41:00.909397
30;1000;1000;2020-07-19T17:43:20.462403
31;1000;1000;2020-07-19T17:45:39.793178
32;1000;1000;2020-07-19T17:47:59.273593
